,Termination_Status,predicted,match,Termination_Status,employee_id,location_tier,location_cost,location_reporting,restated_LOB,tenure,age,qc_non_qc,is_people_manager,job_family_group,gender,management_level_category,management_chain_level_employee,Job_level,is_DQC,Stock_Eligible,remote_location,Plan_Category,compensation_usd,competitive_base_pay_market_position,competitive_total_target_cash_market_position,base_pay_compa_ratio,total_target_cash_compa_ratio,Time_in_Job_Profile,bonus_eligible,promotion_count_rolling_2_years,transfer_count_rolling_2_years,change_job_type_count_rolling_2_years,time_since_last_promotion_in_years,time_since_last_transfer_in_years,time_since_last_change_job_type_in_years,Change_in_Individual_management_level,Change_in_job_level,current_vs_average_compensation_job_level,current_vs_average_tenure_job_level,current_vs_average_tenure,%_Abover_or_Below_Average_Compensation_job_level,%_Abover_or_Below_Average_Tenure_job_level,%_Abover_or_Below_Average_Tenure_Company,termination_date
363,No,No,True,No,33816,All Others,High-Cost,All Other EMEA,ELT/Direct Reports,4.33,56,NON QC,No,Engineering,Male,ELT,9,E4,Unknown,Yes,No,VCIP Plan,1081830.19,2,2,0.889,0.804,2.335386,Yes,0,1,0,4.33,0.75,4.33,No,No,Higher than average,Higher than average,Higher than average,0.0,0.0,0.48,
364,No,No,True,No,39236,Tier 1,High-Cost,Santa Clara,Engineering,1.67,54,NON QC,No,Engineering,Male,Individual Contributor/Support,6,IC6,Unknown,No,No,VCIP Plan,338400.0,3,3,0.974,0.938,1.722108,Yes,0,0,0,1.67,1.67,1.67,No,No,Higher than average,Lower than average,Lower than average,17.86,-82.04,-61.25,
365,No,Yes,False,No,37656,Tier 1,Low-Cost,Bangalore,Customer Experience,2.42,30,NON QC,No,Services,Female,Individual Contributor/Support,3,IC3,No,Yes,No,No Bonus Plan,15855.47,2,2,0.863,0.863,2.335386,No,0,0,2,2.42,2.42,0.83,No,No,Lower than average,Lower than average,Lower than average,-16.6,-11.27,-43.84,
366,No,No,True,No,14211,Tier 2,High-Cost,Tokyo,Sales & Services,9.08,52,NON QC,No,Business Operations,Female,Individual Contributor/Support,4,IC4,No,Yes,No,No Bonus Plan,118730.96,4,3,1.125,1.041,2.335386,No,0,0,0,5.087671,9.08,9.08,No,No,Lower than average,Higher than average,Higher than average,-17.4,120.69,110.71,
367,No,No,True,No,21097,Tier 1,Low-Cost,Bangalore,Engineering,6.42,36,NON QC,No,Engineering,Male,Individual Contributor/Support,5,IC4,Unknown,Yes,No,VCIP Plan,51282.87,3,3,0.907,0.953,2.836413,Yes,0,0,0,2.838356,6.42,6.42,No,No,Higher than average,Higher than average,Higher than average,8.26,29.58,48.98,
368,No,Yes,False,No,35555,Tier 1,High-Cost,Santa Clara,Engineering,3.5,27,NON QC,No,Engineering,Male,Individual Contributor/Support,6,IC3,Unknown,Yes,No,No Bonus Plan,135430.94,2,2,0.879,0.801,1.336071,No,1,0,0,1.336986,3.5,3.39,No,Yes,Lower than average,Lower than average,Lower than average,-4.24,-18.71,-18.78,
369,No,No,True,No,39776,Tier 2,Low-Cost,Costa Rica,Finance,1.33,41,NON QC,No,Finance,Female,Individual Contributor/Support,3,SU1,Unknown,No,No,No Bonus Plan,15126.75,5,5,1.297,1.297,1.396303,No,0,0,0,1.33,1.33,1.33,No,No,Lower than average,Higher than average,Lower than average,-0.51,16.08,-69.14,
370,No,Yes,False,No,40228,All Others,High-Cost,Remote EMEA,Customer Experience,0.83,37,NON QC,No,Services,Male,Individual Contributor/Support,5,IC4,No,No,Yes,No Bonus Plan,102926.5,3,3,1.042,0.964,0.919917,No,0,0,1,0.83,0.83,0.83,No,No,Lower than average,Lower than average,Lower than average,-3.11,-83.47,-80.74,
371,No,No,True,No,39152,All Others,High-Cost,All Other EMEA,Sales & Services,1.75,40,QC,No,Sales,Female,Individual Contributor/Support,5,IC3,No,No,No,Comission Plan,123514.27,3,3,0.96,0.96,1.837097,Yes,0,0,0,1.75,1.75,1.75,No,No,Lower than average,Lower than average,Lower than average,-0.26,-61.52,-59.39,
372,No,No,True,No,34628,All Others,High-Cost,Remote EMEA,Sales & Services,3.75,47,QC,No,Sales,Male,Individual Contributor/Support,4,IC3,No,Yes,Yes,Comission Plan,103393.51,2,2,0.877,0.877,2.335386,Yes,0,0,0,3.75,3.75,3.75,No,No,Lower than average,Higher than average,Lower than average,-19.56,3.05,-12.98,
373,No,No,True,No,8926,Tier 1,High-Cost,Santa Clara,Engineering,12.67,51,NON QC,No,Engineering,Female,Individual Contributor/Support,5,IC4,Unknown,Yes,No,VCIP Plan,205094.48,3,3,0.943,0.904,2.335386,Yes,0,1,0,12.67,1.83,2.57,No,No,Higher than average,Higher than average,Higher than average,17.89,153.52,194.02,
374,No,No,True,No,38975,Tier 1,High-Cost,Fort Lauderdale,Engineering,1.58,23,NON QC,No,Engineering,Male,Individual Contributor/Support,4,IC2,Unknown,No,No,No Bonus Plan,110134.2,3,2,0.918,0.817,0.334017,No,1,1,0,0.33,0.29,1.58,No,No,Higher than average,Lower than average,Lower than average,3.83,-31.97,-63.33,
375,No,No,True,No,33400,Tier 1,High-Cost,Raleigh,Customer Experience,4.42,37,NON QC,No,Services,Male,Individual Contributor/Support,3,IC1,No,Yes,No,No Bonus Plan,42341.57,3,3,0.977,0.926,1.169062,No,0,0,1,4.42,4.42,1.17,Yes,Yes,Lower than average,Higher than average,Higher than average,-5.16,67.15,2.57,
376,No,No,True,No,32227,All Others,High-Cost,Remote EMEA,Sales & Services,4.5,43,QC,No,Sales,Male,Individual Contributor/Support,4,IC3,No,Yes,Yes,Comission Plan,127512.13,3,3,1.065,0.932,2.335386,Yes,0,0,0,4.5,4.5,3.78,No,No,Lower than average,Higher than average,Higher than average,-0.8,23.66,4.43,
377,No,No,True,No,40992,All Others,High-Cost,Remote AMS,Sales & Services,0.58,43,QC,No,Sales,Female,Individual Contributor/Support,4,IC4,No,No,Yes,Comission Plan,215000.0,3,3,0.996,0.943,0.668035,Yes,0,0,1,0.58,0.58,0.05,No,No,Lower than average,Lower than average,Lower than average,-2.71,-84.6,-86.54,
378,No,Yes,False,No,36924,All Others,Low-Cost,All Other APAC,Sales & Services,2.67,50,QC,Yes,Sales,Male,Director,6,M5,No,Yes,No,Comission Plan,175893.52,3,3,0.954,0.954,2.335386,Yes,0,0,4,2.67,2.67,1.05,No,No,Lower than average,Lower than average,Lower than average,-20.66,-40.1,-38.04,
379,No,No,True,No,31537,Tier 1,High-Cost,Raleigh,Engineering,5.17,29,NON QC,No,Engineering,Male,Individual Contributor/Support,5,IC3,Unknown,Yes,No,VCIP Plan,157515.94,3,3,0.985,0.99,0.835044,Yes,1,0,0,0.835616,5.17,3.34,No,No,Higher than average,Higher than average,Higher than average,25.29,24.33,19.98,
380,No,No,True,No,41957,Tier 1,Low-Cost,Bangalore,Engineering,0.08,42,NON QC,No,Engineering,Male,Individual Contributor/Support,5,IC5,Unknown,No,No,VCIP Plan,80909.4,3,3,0.963,0.967,0.150581,Yes,0,0,0,0.08,0.08,0.08,No,No,Higher than average,Lower than average,Lower than average,7.24,-98.81,-98.14,
381,No,Yes,False,No,39504,All Others,High-Cost,Remote AMS,Sales & Services,1.5,31,QC,No,Sales,Female,Individual Contributor/Support,4,IC4,Yes,No,Yes,Comission Plan,211744.0,2,3,0.855,0.981,1.549623,Yes,0,0,1,1.5,1.5,1.35,No,No,Lower than average,Lower than average,Lower than average,-4.19,-60.17,-65.19,
382,No,No,True,No,23550,Tier 1,Low-Cost,Bangalore,Engineering,5.5,36,NON QC,No,Engineering,Male,Individual Contributor/Support,5,IC4,Unknown,Yes,No,VCIP Plan,53320.01,3,3,0.943,0.991,3.334702,Yes,0,0,0,3.336986,5.5,5.5,No,No,Higher than average,Higher than average,Higher than average,12.56,11.01,27.63,
383,No,Yes,False,No,16904,Tier 1,High-Cost,Santa Clara,Product,8.0,42,NON QC,Yes,Product,Male,Director,7,M6,Unknown,Yes,No,VCIP Plan,312055.38,2,2,0.851,0.817,2.836413,Yes,0,0,2,2.838356,8.0,0.83,No,No,Higher than average,Lower than average,Higher than average,1.87,-0.11,85.65,
384,No,Yes,False,No,40827,All Others,High-Cost,Remote EMEA,HR,0.58,48,NON QC,No,Human Resources,Female,Individual Contributor/Support,6,IC5,Unknown,No,Yes,VCIP Plan,147180.0,3,3,0.979,0.979,0.629705,Yes,0,0,0,0.58,0.58,0.58,No,No,Higher than average,Higher than average,Lower than average,0.0,0.0,-86.54,
385,No,No,True,No,3151,Tier 1,High-Cost,Fort Lauderdale,Sales & Services,17.17,46,NON QC,Yes,Business Operations,Female,Executive,7,E1,No,Yes,No,VCIP Plan,373838.5,3,3,0.975,0.955,3.080082,Yes,0,0,1,3.08,17.17,1.05,No,No,Lower than average,Higher than average,Higher than average,-18.4,1.9,298.45,
386,No,No,True,No,41392,All Others,High-Cost,All Other EMEA,Sales & Services,0.42,34,QC,No,Sales,Male,Individual Contributor/Support,4,IC4,Yes,No,No,Comission Plan,169529.39,3,3,0.911,0.911,0.476386,Yes,0,0,0,0.42,0.42,0.42,No,No,Higher than average,Lower than average,Lower than average,7.7,-91.01,-90.25,
387,No,Yes,False,No,37412,Tier 1,High-Cost,Fort Lauderdale,Sales & Services,2.5,46,QC,Yes,Sales,Male,People Manager,5,M3,No,Yes,No,Comission Plan,136502.73,3,2,0.911,0.842,0.919917,Yes,1,0,2,0.92,2.5,0.27,No,No,Lower than average,Lower than average,Lower than average,-20.31,-66.32,-41.98,
388,No,No,True,No,4374,Tier 1,High-Cost,Fort Lauderdale,Engineering,16.08,45,NON QC,No,Engineering,Male,Individual Contributor/Support,7,IC5,Unknown,Yes,No,VCIP Plan,207473.78,2,2,0.876,0.855,2.335386,Yes,0,0,0,16.08,16.08,2.83,No,Yes,Higher than average,Higher than average,Higher than average,6.25,29.26,273.16,
389,No,No,True,No,40742,Tier 1,High-Cost,Fort Lauderdale,Operations,0.75,46,NON QC,No,General & Administration,Male,Individual Contributor/Support,7,IC3,Unknown,No,No,No Bonus Plan,110000.0,3,3,1.028,0.978,0.783025,No,0,0,0,0.75,0.75,0.75,No,No,Lower than average,Lower than average,Lower than average,-2.35,-83.66,-82.6,
390,No,No,True,No,20473,All Others,High-Cost,All Other AMS,Customer Experience,6.58,53,NON QC,Yes,Services,Male,People Manager,5,M4,No,Yes,No,VCIP Plan,189575.71,4,4,1.136,1.149,3.832991,Yes,0,0,1,3.835616,6.58,0.83,No,No,Lower than average,Higher than average,Higher than average,-1.52,49.04,52.7,
391,No,No,True,No,33617,Tier 1,High-Cost,Fort Lauderdale,Engineering,4.42,37,NON QC,Yes,Engineering,Male,People Manager,5,M4,Unknown,Yes,No,VCIP Plan,197761.72,2,2,0.886,0.852,0.835044,Yes,1,0,0,0.835616,4.42,4.44,No,Yes,Higher than average,Lower than average,Higher than average,1.32,-60.5,2.57,
392,No,No,True,No,39520,Tier 1,High-Cost,Raleigh,Finance,1.5,28,NON QC,No,Finance,Female,Individual Contributor/Support,4,IC4,Unknown,No,No,No Bonus Plan,88451.0,1,1,0.785,0.726,1.511293,No,0,0,0,1.5,1.5,1.5,No,No,Lower than average,Lower than average,Lower than average,-13.94,-46.62,-65.19,
393,No,No,True,No,37645,All Others,High-Cost,All Other EMEA,Sales & Services,2.25,43,QC,No,Sales,Female,Individual Contributor/Support,4,IC4,No,No,No,Comission Plan,167253.35,3,3,0.945,0.945,0.5859,Yes,0,0,0,2.25,2.25,2.25,No,No,Higher than average,Lower than average,Lower than average,6.26,-51.84,-47.79,
394,No,No,True,No,36823,All Others,High-Cost,Remote AMS,Sales & Services,2.67,59,QC,Yes,Sales,Male,Director,6,M5,No,Yes,Yes,Comission Plan,373958.75,4,4,1.191,1.131,2.335386,Yes,0,0,0,2.67,2.67,2.67,No,No,Higher than average,Lower than average,Lower than average,22.68,-64.09,-38.04,
395,No,No,True,No,39406,All Others,High-Cost,All Other EMEA,Engineering,1.33,32,NON QC,No,Engineering,Male,Individual Contributor/Support,4,IC3,Unknown,No,No,No Bonus Plan,54553.86,3,3,1.012,0.967,1.415468,No,0,1,4,1.33,1.08,0.17,No,No,Lower than average,Lower than average,Lower than average,-11.3,-54.88,-69.14,
396,No,Yes,False,No,37739,All Others,Low-Cost,All Other APAC,Sales & Services,2.33,49,QC,No,Sales,Male,Individual Contributor/Support,6,IC4,Yes,Yes,No,Comission Plan,122514.46,1,1,0.791,0.791,2.412046,Yes,0,0,1,2.33,2.33,0.08,No,No,Higher than average,Lower than average,Lower than average,8.43,-34.15,-45.93,
397,No,No,True,No,41089,Tier 1,High-Cost,Fort Lauderdale,Engineering,0.58,44,NON QC,No,Engineering,Female,Individual Contributor/Support,5,IC3,Unknown,No,No,No Bonus Plan,115000.0,3,3,1.019,0.956,0.61054,No,0,0,0,0.58,0.58,0.58,No,No,Lower than average,Lower than average,Lower than average,-10.25,-88.9,-86.54,
398,No,Yes,False,No,37950,Tier 1,High-Cost,Raleigh,Marketing,2.25,32,NON QC,No,Marketing,Female,Individual Contributor/Support,5,IC4,Unknown,Yes,No,VCIP Plan,116640.0,2,2,0.845,0.845,2.042436,Yes,0,0,1,2.25,2.25,1.83,No,No,Lower than average,Lower than average,Lower than average,-13.73,-44.62,-47.79,
399,No,No,True,No,37144,All Others,High-Cost,Remote AMS,Sales & Services,2.5,34,QC,No,Sales,Male,Individual Contributor/Support,4,IC3,No,Yes,Yes,Comission Plan,156022.38,3,3,0.909,0.975,2.335386,Yes,0,0,0,2.5,2.5,2.5,No,No,Lower than average,Lower than average,Lower than average,-10.55,-13.56,-41.98,
400,No,No,True,No,41847,All Others,High-Cost,Remote AMS,Sales & Services,0.17,44,QC,No,Sales,Male,Individual Contributor/Support,4,IC3,Yes,No,Yes,Comission Plan,220000.0,3,3,1.013,1.013,0.208076,Yes,0,0,0,0.17,0.17,0.17,No,No,Higher than average,Lower than average,Lower than average,26.13,-94.12,-96.05,
401,No,No,True,No,19112,Tier 1,High-Cost,Fort Lauderdale,Operations,7.25,35,NON QC,Yes,Engineering,Female,People Manager,6,M2,Unknown,Yes,No,VCIP Plan,119847.88,1,1,0.757,0.762,3.832991,Yes,0,0,0,3.835616,7.25,7.25,No,No,Lower than average,Higher than average,Higher than average,-11.05,3.87,68.25,
402,No,No,True,No,32021,Tier 1,High-Cost,Fort Lauderdale,Operations,4.92,35,NON QC,No,General & Administration,Female,People Manager,5,M2,Unknown,Yes,No,VCIP Plan,122364.57,3,3,0.976,0.979,0.29295,Yes,1,0,1,0.33,4.92,0.29,Yes,Yes,Lower than average,Lower than average,Higher than average,-9.18,-29.51,14.17,
403,No,No,True,No,37661,Tier 1,High-Cost,Fort Lauderdale,Product,2.25,39,NON QC,No,Product,Male,Individual Contributor/Support,6,IC4,Unknown,Yes,No,VCIP Plan,164340.0,2,3,0.884,0.925,2.297056,Yes,0,0,0,2.25,2.25,2.25,No,No,Higher than average,Lower than average,Lower than average,4.06,-73.11,-47.79,
404,No,No,True,No,37358,Tier 1,Low-Cost,Bangalore,Marketing,2.5,30,NON QC,No,Marketing,Male,Individual Contributor/Support,5,IC2,Unknown,Yes,No,No Bonus Plan,19454.71,5,5,1.226,1.226,2.335386,No,0,0,0,2.5,2.5,2.5,No,Yes,Higher than average,Higher than average,Lower than average,13.31,53.85,-41.98,
405,No,No,True,No,38430,Tier 1,High-Cost,Fort Lauderdale,Sales & Services,2.08,44,NON QC,No,Information Technology,Female,Individual Contributor/Support,3,IC2,No,Yes,No,No Bonus Plan,77250.0,3,3,1.008,1.008,1.50308,No,0,0,1,2.08,2.08,2.0,No,No,Lower than average,Lower than average,Lower than average,-15.26,-34.75,-51.73,
406,No,No,True,No,2147,Tier 2,High-Cost,Tokyo,Customer Experience,6.83,55,NON QC,No,Services,Male,Individual Contributor/Support,4,IC4,No,Yes,No,No Bonus Plan,100963.07,3,3,0.955,0.901,2.335386,No,0,0,1,2.336986,6.83,1.84,No,No,Lower than average,Lower than average,Higher than average,-10.52,-12.46,58.5,
407,No,No,True,No,38636,All Others,High-Cost,All Other APAC,Sales & Services,2.0,42,QC,No,Sales,Male,Individual Contributor/Support,5,IC3,No,No,No,Comission Plan,156298.67,3,3,0.97,0.97,2.009582,Yes,0,0,1,2.0,2.0,2.01,No,No,Higher than average,Lower than average,Lower than average,88.28,-42.73,-53.59,
408,No,No,True,No,38355,Tier 1,Low-Cost,Bangalore,Engineering,1.5,24,NON QC,No,Engineering,Female,Individual Contributor/Support,5,IC1,Unknown,No,No,No Bonus Plan,17348.84,3,3,0.986,0.986,1.587953,No,0,0,2,1.5,1.5,0.29,No,No,Higher than average,Higher than average,Lower than average,5.21,26.02,-65.19,
409,No,No,True,No,40274,Tier 1,Low-Cost,Bangalore,Engineering,1.0,38,NON QC,No,Engineering,Male,Individual Contributor/Support,4,IC4,Unknown,No,No,VCIP Plan,58787.85,3,3,1.039,1.093,1.081451,Yes,0,0,1,1.0,1.0,0.82,No,No,Higher than average,Lower than average,Lower than average,24.1,-79.82,-76.79,
410,No,No,True,No,4030,All Others,High-Cost,All Other EMEA,Customer Experience,16.33,53,NON QC,No,Customer Success,Male,Individual Contributor/Support,5,IC4,No,Yes,No,Incentive Plan,128419.0,4,4,1.106,1.106,2.335386,Yes,0,0,1,8.002739,16.33,1.42,No,No,Higher than average,Higher than average,Higher than average,37.86,220.12,278.96,
411,No,No,True,No,23981,Tier 1,Low-Cost,Bangalore,Engineering,5.33,34,NON QC,No,Engineering,Male,Individual Contributor/Support,4,IC4,Unknown,Yes,No,VCIP Plan,50281.55,2,3,0.889,0.935,1.336071,Yes,1,0,1,1.336986,5.33,1.27,No,No,Higher than average,Higher than average,Higher than average,6.15,7.58,23.69,
412,No,No,True,No,41094,All Others,High-Cost,Remote AMS,Sales & Services,0.58,42,QC,No,Sales,Female,Individual Contributor/Support,5,IC4,Yes,No,Yes,Comission Plan,240000.0,3,3,0.911,0.952,0.629705,Yes,0,0,0,0.58,0.58,0.58,No,No,Higher than average,Lower than average,Lower than average,8.6,-84.6,-86.54,
413,No,No,True,No,40305,Tier 1,High-Cost,Raleigh,Sales & Services,0.5,23,NON QC,No,Sales,Male,Individual Contributor/Support,4,SU1,No,No,No,Comission Plan,57141.71,2,3,0.869,0.92,0.553045,Yes,0,0,1,0.5,0.5,0.32,No,No,Higher than average,Lower than average,Lower than average,28.29,-12.81,-88.4,
414,No,No,True,No,41211,Tier 1,Low-Cost,Bangalore,Customer Experience,0.5,27,NON QC,No,Services,Male,Individual Contributor/Support,3,IC3,No,No,No,No Bonus Plan,15559.5,2,2,0.847,0.847,0.57221,No,0,0,1,0.5,0.5,0.57,No,No,Lower than average,Lower than average,Lower than average,-18.16,-81.67,-88.4,
415,No,No,True,No,41356,Tier 1,Low-Cost,Bangalore,Engineering,0.42,23,NON QC,No,Engineering,Male,Individual Contributor/Support,5,IC1,Unknown,No,No,No Bonus Plan,15559.5,2,2,0.885,0.885,0.476386,No,0,0,1,0.42,0.42,0.47,No,No,Lower than average,Lower than average,Lower than average,-5.64,-64.71,-90.25,
416,No,No,True,No,34998,Tier 2,Low-Cost,Nanjing,Engineering,2.58,28,NON QC,No,Engineering,Male,Individual Contributor/Support,4,IC2,Unknown,Yes,No,No Bonus Plan,30749.51,2,2,0.82,0.82,2.335386,No,0,0,0,2.58,2.58,2.58,No,Yes,Higher than average,Lower than average,Lower than average,6.65,-6.18,-40.13,
417,No,No,True,No,35958,All Others,High-Cost,Remote AMS,Customer Experience,2.5,26,NON QC,No,Customer Success,Male,Individual Contributor/Support,5,IC2,No,Yes,Yes,No Bonus Plan,82000.0,3,3,0.959,0.959,1.549623,No,1,0,1,1.55,2.5,2.02,No,Yes,Higher than average,Higher than average,Lower than average,1.19,19.45,-41.98,
418,No,Yes,False,No,38113,All Others,High-Cost,All Other APAC,Sales & Services,2.08,41,QC,No,Sales,Male,Individual Contributor/Support,4,IC4,Yes,Yes,No,Comission Plan,129789.0,2,2,0.818,0.818,2.162902,Yes,0,0,1,2.08,2.08,2.08,No,No,Higher than average,Lower than average,Lower than average,14.87,-41.21,-51.73,
419,Yes,Yes,True,Yes,23479,All Others,High-Cost,Remote AMS,Sales & Services,5.33,55,QC,No,Sales,Male,Individual Contributor/Support,5,IC4,No,Yes,Yes,Comission Plan,256122.8,3,3,0.903,0.953,2.335386,Yes,0,0,2,5.33,5.33,0.87,No,No,Higher than average,Higher than average,Higher than average,15.9,41.53,23.69,2020-12-01
420,No,No,True,No,40680,Tier 1,Low-Cost,Bangalore,Customer Experience,0.75,36,NON QC,No,Services,Male,Individual Contributor/Support,3,IC4,No,No,No,No Bonus Plan,31795.5,3,3,1.043,0.984,0.821355,No,0,0,1,0.75,0.75,0.8,No,No,Higher than average,Lower than average,Lower than average,23.34,-82.82,-82.6,
421,No,Yes,False,No,35040,Tier 1,Low-Cost,Bangalore,Customer Experience,3.75,38,NON QC,No,Services,Male,Individual Contributor/Support,3,IC4,No,Yes,No,No Bonus Plan,30941.76,3,3,1.015,0.958,2.335386,No,0,0,1,3.75,3.75,0.97,No,No,Higher than average,Lower than average,Lower than average,20.03,-14.09,-12.98,
422,No,Yes,False,No,40788,Tier 1,High-Cost,Fort Lauderdale,Sales & Services,0.67,32,QC,No,Sales,Male,Individual Contributor/Support,4,SU3,No,No,No,Comission Plan,100002.0,4,4,1.159,1.155,0.72553,Yes,0,0,0,0.67,0.67,0.67,No,No,Higher than average,Lower than average,Lower than average,28.95,-57.95,-84.45,
423,No,No,True,No,36144,All Others,High-Cost,Remote AMS,Sales & Services,3.0,51,NON QC,No,Marketing,Female,Individual Contributor/Support,4,IC5,No,Yes,Yes,VCIP Plan,156131.05,2,2,0.833,0.833,0.835044,Yes,1,0,0,0.835616,3.0,2.72,No,Yes,Lower than average,Lower than average,Lower than average,-37.93,-48.21,-30.38,
424,No,No,True,No,41257,All Others,High-Cost,Remote AMS,Sales & Services,0.5,52,QC,No,Sales,Male,Individual Contributor/Support,5,IC4,No,No,Yes,Comission Plan,285000.0,3,3,1.005,1.061,0.53388,Yes,0,0,0,0.5,0.5,0.5,No,No,Higher than average,Lower than average,Lower than average,28.96,-86.72,-88.4,
425,No,Yes,False,No,3869,All Others,High-Cost,All Other EMEA,Sales & Services,16.5,55,QC,No,Sales,Male,Individual Contributor/Support,4,IC4,No,Yes,No,Comission Plan,161201.56,3,3,0.925,0.925,2.335386,Yes,0,0,0,16.5,16.5,2.26,No,No,Higher than average,Higher than average,Higher than average,2.41,253.21,282.9,
426,No,No,True,No,32185,Tier 1,High-Cost,Fort Lauderdale,Operations,4.75,36,NON QC,No,Information Technology,Male,Individual Contributor/Support,4,IC5,Unknown,Yes,No,VCIP Plan,143918.52,2,2,0.858,0.842,0.72553,Yes,0,0,2,4.75,4.75,0.73,No,No,Lower than average,Lower than average,Higher than average,-12.33,-53.8,10.23,
427,No,No,True,No,35202,Tier 1,Low-Cost,Bangalore,Customer Experience,3.67,34,NON QC,No,Services,Female,Individual Contributor/Support,3,IC3,No,Yes,No,No Bonus Plan,20457.36,2,2,0.871,0.871,1.084188,No,1,1,1,1.838356,1.08,1.78,No,Yes,Higher than average,Higher than average,Lower than average,7.61,34.57,-14.83,
428,No,No,True,No,39305,All Others,High-Cost,All Other EMEA,Customer Experience,1.58,29,NON QC,No,Services,Male,Individual Contributor/Support,5,IC4,No,No,No,No Bonus Plan,80282.67,3,2,0.907,0.84,1.670088,No,0,0,0,1.58,1.58,1.58,No,No,Lower than average,Lower than average,Lower than average,-13.81,-69.03,-63.33,
429,No,Yes,False,No,23218,Tier 2,Low-Cost,Nanjing,Customer Experience,5.58,31,NON QC,No,Services,Female,Individual Contributor/Support,3,IC3,No,Yes,No,No Bonus Plan,30581.76,3,3,0.941,0.941,2.335386,No,0,0,0,5.58,5.58,5.58,No,No,Higher than average,Higher than average,Higher than average,1.06,67.49,29.49,
430,No,No,True,No,40025,All Others,High-Cost,All Other EMEA,Engineering,1.0,30,NON QC,Yes,Engineering,Female,People Manager,5,M3,Unknown,No,No,VCIP Plan,76393.68,2,2,0.8,0.8,0.334017,Yes,1,0,3,0.33,1.0,0.33,No,No,Lower than average,Lower than average,Lower than average,-25.49,-69.22,-76.79,
431,No,Yes,False,No,1786,Tier 2,High-Cost,Chalfont,Sales & Services,19.75,55,NON QC,No,Business Operations,Female,Individual Contributor/Support,5,IC3,No,Yes,No,VCIP Plan,100704.28,5,5,1.388,1.499,2.836413,Yes,0,0,0,2.838356,19.75,3.19,No,Yes,Lower than average,Higher than average,Higher than average,-20.89,359.17,358.32,
432,No,Yes,False,No,23464,Tier 2,High-Cost,Chalfont,Sales & Services,5.5,34,QC,No,Sales,Male,Individual Contributor/Support,5,IC4,Yes,Yes,No,Comission Plan,187727.26,2,2,0.875,0.875,0.334017,Yes,1,0,2,0.33,5.09,0.07,No,No,Higher than average,Higher than average,Higher than average,12.75,30.99,27.63,
433,No,Yes,False,No,8625,All Others,High-Cost,All Other EMEA,Sales & Services,12.83,43,QC,No,Sales,Male,Individual Contributor/Support,4,IC3,No,Yes,No,Comission Plan,71865.41,3,3,1.04,0.91,2.335386,Yes,0,0,1,9.005479,12.83,2.01,No,No,Lower than average,Higher than average,Higher than average,-41.97,182.15,197.74,
434,No,No,True,No,36605,Tier 2,High-Cost,Sydney,Sales & Services,2.75,59,QC,No,Sales,Female,Individual Contributor/Support,5,IC4,No,Yes,No,Comission Plan,198539.04,3,3,1.023,1.023,2.830937,Yes,0,0,0,2.75,2.75,2.33,No,No,Higher than average,Lower than average,Lower than average,44.0,-31.5,-36.18,
435,No,No,True,No,36183,Tier 2,Low-Cost,Costa Rica,Customer Experience,2.92,30,NON QC,No,Customer Success,Male,Individual Contributor/Support,4,IC3,No,Yes,No,No Bonus Plan,42562.12,3,3,0.988,0.988,0.544832,No,1,0,3,0.835616,2.92,0.55,No,No,Higher than average,Higher than average,Lower than average,12.97,0.99,-32.24,
436,No,Yes,False,No,16149,Tier 1,High-Cost,Santa Clara,Sales & Services,8.42,31,NON QC,No,Marketing,Female,Individual Contributor/Support,4,IC4,No,Yes,No,VCIP Plan,167790.19,3,3,1.052,1.042,0.334017,Yes,1,0,0,0.33,8.42,4.84,No,Yes,Lower than average,Higher than average,Higher than average,-15.99,168.61,95.4,
437,No,No,True,No,40441,Tier 1,High-Cost,Fort Lauderdale,Engineering,0.58,36,NON QC,No,Engineering,Male,Individual Contributor/Support,4,IC3,Unknown,No,No,VCIP Plan,156600.0,2,2,0.89,0.894,0.61054,Yes,0,0,2,0.58,0.58,0.33,No,No,Higher than average,Lower than average,Lower than average,22.21,-88.9,-86.54,
438,No,No,True,No,14889,All Others,High-Cost,All Other AMS,Sales & Services,8.75,40,NON QC,No,Engineering,Male,Individual Contributor/Support,6,IC7,No,Yes,No,VCIP Plan,300782.54,2,2,0.844,0.883,1.998631,Yes,1,0,1,2.0,8.75,1.84,No,No,Higher than average,Higher than average,Higher than average,0.0,0.0,103.05,
439,No,No,True,No,1218,Tier 1,High-Cost,Fort Lauderdale,Sales & Services,20.92,45,NON QC,Yes,General & Administration,Male,Director,6,M5,No,Yes,No,VCIP Plan,230659.84,4,4,1.109,1.109,2.669404,Yes,0,0,0,4.336986,2.67,3.08,No,No,Lower than average,Higher than average,Higher than average,-5.53,107.25,385.47,
440,No,No,True,No,38838,All Others,High-Cost,All Other EMEA,Sales & Services,1.83,30,QC,No,Sales,Male,Individual Contributor/Support,3,IC3,No,No,No,Comission Plan,160560.0,2,2,0.887,0.888,1.084188,Yes,1,0,1,1.08,1.83,0.74,No,No,Higher than average,Lower than average,Lower than average,29.65,-59.76,-57.53,
